run:
ThreadID: 11, Smelter: 1, Transporter: 0, Constructor: 0, Action: SMELTER_CREATED, TimeStamp: 47.154400 ms.
ThreadID: 30, Smelter: 0, Transporter: 10, Constructor: 0, Action: TRANSPORTER_CREATED, TimeStamp: 67.513200 ms.
ThreadID: 29, Smelter: 0, Transporter: 9, Constructor: 0, Action: TRANSPORTER_CREATED, TimeStamp: 68.023900 ms.
ThreadID: 28, Smelter: 0, Transporter: 8, Constructor: 0, Action: TRANSPORTER_CREATED, TimeStamp: 68.397100 ms.
ThreadID: 27, Smelter: 0, Transporter: 7, Constructor: 0, Action: TRANSPORTER_CREATED, TimeStamp: 68.718700 ms.
ThreadID: 26, Smelter: 0, Transporter: 6, Constructor: 0, Action: TRANSPORTER_CREATED, TimeStamp: 69.070400 ms.
ThreadID: 23, Smelter: 0, Transporter: 3, Constructor: 0, Action: TRANSPORTER_CREATED, TimeStamp: 69.390100 ms.
ThreadID: 24, Smelter: 0, Transporter: 4, Constructor: 0, Action: TRANSPORTER_CREATED, TimeStamp: 69.717900 ms.
ThreadID: 25, Smelter: 0, Transporter: 5, Constructor: 0, Action: TRANSPORTER_CREATED, TimeStamp: 70.032100 ms.
ThreadID: 22, Smelter: 0, Transporter: 2, Constructor: 0, Action: TRANSPORTER_CREATED, TimeStamp: 70.340800 ms.
ThreadID: 21, Smelter: 0, Transporter: 1, Constructor: 0, Action: TRANSPORTER_CREATED, TimeStamp: 70.698100 ms.
ThreadID: 19, Smelter: 0, Transporter: 0, Constructor: 4, Action: CONSTRUCTOR_CREATED, TimeStamp: 70.978000 ms.
ThreadID: 20, Smelter: 0, Transporter: 0, Constructor: 5, Action: CONSTRUCTOR_CREATED, TimeStamp: 71.297800 ms.
ThreadID: 18, Smelter: 0, Transporter: 0, Constructor: 3, Action: CONSTRUCTOR_CREATED, TimeStamp: 71.652700 ms.
ThreadID: 17, Smelter: 0, Transporter: 0, Constructor: 2, Action: CONSTRUCTOR_CREATED, TimeStamp: 72.003400 ms.
ThreadID: 16, Smelter: 0, Transporter: 0, Constructor: 1, Action: CONSTRUCTOR_CREATED, TimeStamp: 72.326100 ms.
ThreadID: 13, Smelter: 3, Transporter: 0, Constructor: 0, Action: SMELTER_CREATED, TimeStamp: 72.675400 ms.
ThreadID: 14, Smelter: 4, Transporter: 0, Constructor: 0, Action: SMELTER_CREATED, TimeStamp: 73.034600 ms.
ThreadID: 15, Smelter: 5, Transporter: 0, Constructor: 0, Action: SMELTER_CREATED, TimeStamp: 73.440400 ms.
ThreadID: 12, Smelter: 2, Transporter: 0, Constructor: 0, Action: SMELTER_CREATED, TimeStamp: 73.797800 ms.
ThreadID: 15, Smelter: 5, Transporter: 0, Constructor: 0, Action: SMELTER_STARTED, TimeStamp: 74.062500 ms.
ThreadID: 14, Smelter: 4, Transporter: 0, Constructor: 0, Action: SMELTER_STARTED, TimeStamp: 77.916300 ms.
ThreadID: 13, Smelter: 3, Transporter: 0, Constructor: 0, Action: SMELTER_STARTED, TimeStamp: 78.182300 ms.
ThreadID: 11, Smelter: 1, Transporter: 0, Constructor: 0, Action: SMELTER_STARTED, TimeStamp: 78.461700 ms.
ThreadID: 12, Smelter: 2, Transporter: 0, Constructor: 0, Action: SMELTER_STARTED, TimeStamp: 78.820700 ms.
ThreadID: 14, Smelter: 4, Transporter: 0, Constructor: 0, Action: SMELTER_FINISHED, TimeStamp: 87.195900 ms.
ThreadID: 28, Smelter: 4, Transporter: 8, Constructor: 0, Action: TRANSPORTER_TRAVEL, TimeStamp: 87.739500 ms.
ThreadID: 11, Smelter: 1, Transporter: 0, Constructor: 0, Action: SMELTER_FINISHED, TimeStamp: 88.186200 ms.
ThreadID: 22, Smelter: 1, Transporter: 2, Constructor: 0, Action: TRANSPORTER_TRAVEL, TimeStamp: 88.683500 ms.
ThreadID: 15, Smelter: 5, Transporter: 0, Constructor: 0, Action: SMELTER_FINISHED, TimeStamp: 91.203700 ms.
ThreadID: 30, Smelter: 5, Transporter: 10, Constructor: 0, Action: TRANSPORTER_TRAVEL, TimeStamp: 91.592800 ms.
ThreadID: 14, Smelter: 4, Transporter: 0, Constructor: 0, Action: SMELTER_STARTED, TimeStamp: 92.208300 ms.
ThreadID: 11, Smelter: 1, Transporter: 0, Constructor: 0, Action: SMELTER_STARTED, TimeStamp: 93.215200 ms.
ThreadID: 14, Smelter: 4, Transporter: 0, Constructor: 0, Action: SMELTER_FINISHED, TimeStamp: 96.325000 ms.
ThreadID: 28, Smelter: 4, Transporter: 8, Constructor: 0, Action: TRANSPORTER_TAKE_INGOT, TimeStamp: 97.287500 ms.
ThreadID: 27, Smelter: 4, Transporter: 7, Constructor: 0, Action: TRANSPORTER_TRAVEL, TimeStamp: 97.669400 ms.
ThreadID: 11, Smelter: 1, Transporter: 0, Constructor: 0, Action: SMELTER_FINISHED, TimeStamp: 98.275700 ms.
ThreadID: 22, Smelter: 1, Transporter: 2, Constructor: 0, Action: TRANSPORTER_TAKE_INGOT, TimeStamp: 98.879600 ms.
ThreadID: 21, Smelter: 1, Transporter: 1, Constructor: 0, Action: TRANSPORTER_TRAVEL, TimeStamp: 99.217600 ms.
ThreadID: 15, Smelter: 5, Transporter: 0, Constructor: 0, Action: SMELTER_STARTED, TimeStamp: 99.570800 ms.
ThreadID: 14, Smelter: 4, Transporter: 0, Constructor: 0, Action: SMELTER_STARTED, TimeStamp: 100.261100 ms.
ThreadID: 30, Smelter: 5, Transporter: 10, Constructor: 0, Action: TRANSPORTER_TAKE_INGOT, TimeStamp: 101.255500 ms.
ThreadID: 13, Smelter: 3, Transporter: 0, Constructor: 0, Action: SMELTER_FINISHED, TimeStamp: 103.294300 ms.
ThreadID: 12, Smelter: 2, Transporter: 0, Constructor: 0, Action: SMELTER_FINISHED, TimeStamp: 103.649500 ms.
ThreadID: 26, Smelter: 3, Transporter: 6, Constructor: 0, Action: TRANSPORTER_TRAVEL, TimeStamp: 103.956400 ms.
ThreadID: 23, Smelter: 2, Transporter: 3, Constructor: 0, Action: TRANSPORTER_TRAVEL, TimeStamp: 104.228200 ms.
ThreadID: 11, Smelter: 1, Transporter: 0, Constructor: 0, Action: SMELTER_STARTED, TimeStamp: 104.557300 ms.
ThreadID: 14, Smelter: 4, Transporter: 0, Constructor: 0, Action: SMELTER_FINISHED, TimeStamp: 105.267500 ms.
ThreadID: 15, Smelter: 5, Transporter: 0, Constructor: 0, Action: SMELTER_FINISHED, TimeStamp: 107.249400 ms.
ThreadID: 29, Smelter: 5, Transporter: 9, Constructor: 0, Action: TRANSPORTER_TRAVEL, TimeStamp: 107.580600 ms.
ThreadID: 11, Smelter: 1, Transporter: 0, Constructor: 0, Action: SMELTER_FINISHED, TimeStamp: 108.245600 ms.
ThreadID: 28, Smelter: 0, Transporter: 8, Constructor: 4, Action: TRANSPORTER_TRAVEL, TimeStamp: 108.480900 ms.
ThreadID: 27, Smelter: 4, Transporter: 7, Constructor: 0, Action: TRANSPORTER_TAKE_INGOT, TimeStamp: 108.682400 ms.
ThreadID: 22, Smelter: 0, Transporter: 2, Constructor: 1, Action: TRANSPORTER_TRAVEL, TimeStamp: 109.251800 ms.
ThreadID: 14, Smelter: 4, Transporter: 0, Constructor: 0, Action: SMELTER_STARTED, TimeStamp: 109.511200 ms.
